,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2003,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,1828697,2138093,2348174,2646248,2832961,3061743,3266740,3444165,3893888,4040587,4447100,4500752,4779736,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
Alaska,63592,64356,55036,59278,72524,128643,226167,300382,401851,550043,626932,648818,710231,722038,730399,737045,736307,737547,741504,739786,737438
Arizona,122931,204354,334162,435573,499261,749587,1302161,1770900,2718215,3665228,5130632,5580811,6392017,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
Arkansas,1311564,1574449,1752204,1854482,1949387,1909511,1786272,1923295,2286435,2350725,2673400,2725714,2915918,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
California,1485053,2377549,3426861,5677251,6907387,10586223,15717204,19953134,23667902,29760021,33871648,35484453,37253956,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
Colorado,539700,799024,939629,1035791,1123296,1325089,1753947,2207259,2889964,3294394,4301261,4550688,5029196,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
Connecticut,908420,1114756,1380631,1606903,1709242,2007280,2535234,3031709,3107576,3287116,3405565,3483372,3574097,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
Delaware,184735,202322,223003,238380,266505,318085,446292,548104,594338,666168,783600,817491,897934,907316,915188,923638,932596,941413,949216,957078,967171
Florida,528542,752619,968470,1468211,1897414,2771305,4951560,6789443,9746324,12937926,15982378,17019068,18801310,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
Georgia,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,8186453,8684715,9687653,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
Hawaii,154001,191874,255881,368300,422770,499794,632772,768561,964691,1108229,1211537,1257608,1360301,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
Idaho,161772,325594,431866,445032,524873,588637,667191,712567,943935,1006749,1293953,1366332,1567582,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208
Illinois,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,12419293,12653544,12830632,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
Indiana,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,6080485,6195643,6483802,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878
Iowa,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,2926324,2944062,3046355,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145
Kansas,1470495,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,2688418,2723507,2853118,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505
Kentucky,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,4041769,4117827,4339367,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402
Louisiana,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,4468976,4496334,4533372,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978
Maine,694466,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,1274923,1305728,1328361,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404
Maryland,1188044,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,5296486,5508909,5773552,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718
Massachusetts,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,6349097,6433422,6547629,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149
Michigan,2420982,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,9938444,10079985,9883640,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
Minnesota,1751394,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,4919479,5059375,5303925,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179
Mississippi,1551270,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,2844658,2881281,2967297,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530
Missouri,3106665,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,5595211,5704484,5988927,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452
Montana,243329,376053,548889,537606,559456,591024,674767,694409,786690,799065,902195,917621,989415,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305
Nebraska,1066300,1192214,1296372,1377963,1315834,1325510,1411330,1483493,1569825,1578385,1711263,1739291,1826341,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268
Nevada,42335,81875,77407,91058,110247,160083,285278,488738,800493,1201833,1998257,2241154,2700551,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392
New Hampshire,411588,430572,443083,465293,491524,533242,606921,737681,920610,1109252,1235786,1287687,1316470,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458
New Jersey,1883669,2537167,3155900,4041334,4160165,4835329,6066782,7168164,7364823,7730188,8414350,8638396,8791894,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
New Mexico,195310,327301,360350,423317,531818,681187,951023,1016000,1302894,1515069,1819046,1874614,2059179,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
New York,7268894,9113614,10385227,12588066,13479142,14830192,16782304,18236967,17558072,17990455,18976457,19190115,19378102,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
North Carolina,1893810,2206287,2559123,3170276,3571623,4061929,4556155,5082059,5881766,6628637,8049313,8407248,9535483,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
North Dakota,319146,577056,646872,680845,641935,619636,632446,617761,652717,638800,642200,633837,672591,685136,701116,721999,737382,754022,754353,755176,760077
Ohio,4157545,4767121,5759394,6646697,6907612,7946627,9706397,10652017,10797630,10847115,11353140,11435798,11536504,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
Oklahoma,790391,1657155,2028283,2396040,2336434,2233351,2328284,2559229,3025290,3145585,3450654,3511532,3751351,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079
Oregon,413536,672765,783389,953786,1089684,1521341,1768687,2091385,2633105,2842321,3421399,3559596,3831074,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
Pennsylvania,6302115,7665111,8720017,9631350,9900180,10498012,11319366,11793909,11863895,11881643,12281054,12365455,12702379,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
Rhode Island,428556,542610,604397,687497,713346,791896,859488,946725,947154,1003464,1048319,1076164,1052567,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
South Carolina,1340316,1515400,1683724,1738765,1899804,2117027,2382594,2590516,3121820,3486703,4012012,4147152,4625364,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
South Dakota,401570,583888,636547,692849,642961,652740,680514,665507,690768,696004,754844,764309,814180,823484,833496,842270,849088,853933,862890,873286,882235
Tennessee,2020616,2184789,2337885,2616556,2915841,3291718,3567089,3923687,4591120,4877185,5689283,5841748,6346105,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
Texas,3048710,3896542,4663228,5824715,6414824,7711194,9579677,11196730,14229191,16986510,20851820,22118509,25145561,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
Utah,276749,373351,449396,507847,550310,688862,890627,1059273,1461037,1722850,2233169,2351467,2763885,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105
Vermont,343641,355956,352428,359611,359231,377747,389881,444330,511456,562758,608827,619107,625741,626979,626063,626212,625218,625197,623644,624525,626299
Virginia,1854184,2061612,2309187,2421851,2677773,3318680,3966949,4648494,5346818,6187358,7078515,7386330,8001024,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
Washington,518103,1141990,1356621,1563396,1736191,2378963,2853214,3409169,4132156,4866692,5894121,6131445,6724540,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
West Virginia,958800,1221119,1463701,1729205,1901974,2005552,1860421,1744237,1949644,1793477,1808344,1810354,1852994,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832
Wisconsin,2069042,2333860,2632067,2939006,3137587,3434575,3951777,4417731,4705767,4891769,5363675,5472299,5686986,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
Wyoming,92531,145965,194402,225565,250742,290529,330066,332416,469557,453588,493782,501242,563626,567224,576270,582123,582548,585668,584290,578934,577737
District of Columbia,278718,331069,437571,486869,663091,802178,763956,756510,638333,606900,572059,563384,601723,619602,634725,650431,662513,675254,686575,695691,702455
