year,month,population
2001,1,21274049.67
2001,2,21309235.474999968
2001,3,21344421.280000035
2001,4,21379607.085
2001,5,21414792.889999967
2001,6,21449978.695000034
2001,7,21485164.5
2001,8,21520350.304999966
2001,9,21555536.110000033
2001,10,21590721.915
2001,11,21625907.719999965
2001,12,21661093.525000032
2002,1,21696279.33
2002,2,21731465.1358333
2002,3,21766650.941666696
2002,4,21801836.7475
2002,5,21837022.5533333
2002,6,21872208.359166697
2002,7,21907394.165
2002,8,21942579.9708333
2002,9,21977765.776666697
2002,10,22012951.5825
2002,11,22048137.388333302
2002,12,22083323.194166698
2003,1,22118509.0
2003,2,22154545.333333302
2003,3,22190581.666666698
2003,4,22226618.0
2003,5,22262654.333333302
2003,6,22298690.666666698
2003,7,22334727.0
2003,8,22370763.333333302
2003,9,22406799.666666698
2003,10,22442836.0
2003,11,22478872.333333302
2003,12,22514908.666666698
2004,1,22550945.0
2004,2,22586981.333333302
2004,3,22623017.666666698
2004,4,22659054.0
2004,5,22695090.333333302
2004,6,22731126.666666698
2004,7,22767163.0
2004,8,22803199.333333302
2004,9,22839235.666666698
2004,10,22875272.0
2004,11,22911308.333333302
2004,12,22947344.666666698
2005,1,22983381.0
2005,2,23019417.333333302
2005,3,23055453.666666698
2005,4,23091490.0
2005,5,23127526.333333302
2005,6,23163562.666666698
2005,7,23199599.0
2005,8,23235635.333333302
2005,9,23271671.666666698
2005,10,23307708.0
2005,11,23343744.333333302
2005,12,23379780.666666698
2006,1,23415817.0
2006,2,23451853.333333302
2006,3,23487889.666666698
2006,4,23523926.0
2006,5,23559962.333333302
2006,6,23595998.666666698
2006,7,23632035.0
2006,8,23668071.333333302
2006,9,23704107.666666698
2006,10,23740144.0
2006,11,23776180.333333302
2006,12,23812216.666666698
2007,1,23848253.0
2007,2,23884289.333333302
2007,3,23920325.666666698
2007,4,23956362.0
2007,5,23992398.333333302
2007,6,24028434.666666698
2007,7,24064471.0
2007,8,24100507.333333302
2007,9,24136543.666666698
2007,10,24172580.0
2007,11,24208616.333333302
2007,12,24244652.666666698
2008,1,24280689.0
2008,2,24316725.333333302
2008,3,24352761.666666698
2008,4,24388798.0
2008,5,24424834.333333302
2008,6,24460870.666666698
2008,7,24496907.0
2008,8,24532943.333333302
2008,9,24568979.666666698
2008,10,24605016.0
2008,11,24641052.333333302
2008,12,24677088.666666698
2009,1,24713125.0
2009,2,24749161.333333302
2009,3,24785197.666666698
2009,4,24821234.0
2009,5,24857270.333333302
2009,6,24893306.666666698
2009,7,24929343.0
2009,8,24965379.333333302
2009,9,25001415.666666698
2009,10,25037452.0
2009,11,25073488.333333302
2009,12,25109524.666666698
2010,1,25145561.0
2010,2,25187283.166666627
2010,3,25229005.333333373
2010,4,25270727.5
2010,5,25312449.666666627
2010,6,25354171.833333373
2010,7,25395894.0
2010,8,25437616.166666627
2010,9,25479338.333333373
2010,10,25521060.5
2010,11,25562782.666666627
2010,12,25604504.833333373
2011,1,25646227.0
2011,2,25683176.416666634
2011,3,25720125.833333366
2011,4,25757075.25
2011,5,25794024.666666634
2011,6,25830974.083333366
2011,7,25867923.5
2011,8,25904872.916666634
2011,9,25941822.333333366
2011,10,25978771.75
2011,11,26015721.166666634
2011,12,26052670.583333366
2012,1,26089620.0
2012,2,26122940.333333302
2012,3,26156260.666666698
2012,4,26189581.0
2012,5,26222901.333333302
2012,6,26256221.666666698
2012,7,26289542.0
2012,8,26322862.333333302
2012,9,26356182.666666698
2012,10,26389503.0
2012,11,26422823.333333302
2012,12,26456143.666666698
2013,1,26489464.0
2013,2,26530103.833333295
2013,3,26570743.666666705
2013,4,26611383.5
2013,5,26652023.333333295
2013,6,26692663.166666705
2013,7,26733303.0
2013,8,26773942.833333295
2013,9,26814582.666666705
2013,10,26855222.5
2013,11,26895862.333333295
2013,12,26936502.166666705
2014,1,26977142.0
2014,2,27019614.666666627
2014,3,27062087.333333373
2014,4,27104560.0
2014,5,27147032.666666627
2014,6,27189505.333333373
2014,7,27231978.0
2014,8,27274450.666666627
2014,9,27316923.333333373
2014,10,27359396.0
2014,11,27401868.666666627
2014,12,27444341.333333373
2015,1,27486814.0
2015,2,27524370.499999966
2015,3,27561927.000000034
2015,4,27599483.5
2015,5,27637039.999999966
2015,6,27674596.500000034
2015,7,27712153.0
2015,8,27749709.499999966
2015,9,27787266.000000034
2015,10,27824822.5
2015,11,27862378.999999966
2015,12,27899935.500000034
2016,1,27937492.0
2016,2,27969594.083333302
2016,3,28001696.166666698
2016,4,28033798.25
2016,5,28065900.333333302
2016,6,28098002.416666698
2016,7,28130104.5
2016,8,28162206.583333302
2016,9,28194308.666666698
2016,10,28226410.75
2016,11,28258512.833333306
2016,12,28290614.916666694
2017,1,28322717.0
2017,2,28354310.99999997
2017,3,28385905.00000003
2017,4,28417499.0
2017,5,28449092.99999997
2017,6,28480687.00000003
2017,7,28512281.0
2017,8,28543874.99999997
2017,9,28575469.00000003
2017,10,28607063.0
2017,11,28638656.99999997
2017,12,28670251.00000003
2018,1,28701845.0
2018,2,28733947.083333302
2018,3,28766049.166666698
2018,4,28798151.25
2018,5,28830253.333333302
2018,6,28862355.416666698
2018,7,28894457.5
2018,8,28926559.583333302
2018,9,28958661.666666698
2018,10,28990763.75
2018,11,29022865.833333306
2018,12,29054967.916666694
2019,1,29087070.0
