Year,State,Average of AverageTemperature,Max of AverageTemperature,Min of AverageTemperature
1820,Texas,16.94,26.356,4.489
1821,Texas,17.47,27.393,7.141
1822,Texas,17.88,28.159,5.508
1823,Texas,17.48,28.102,6.929
1824,Texas,17.99,28.277,8.243
1825,Texas,18.34,27.968,7.692
1826,Texas,17.97,28.084,6.918
1827,Texas,18.62,28.62,7.897
1828,Texas,18.12,28.582,6.872
1829,Texas,17.86,28.422,7.679
1830,Texas,18.56,29.498,8.559
1831,Texas,17.06,27.692,5.996
1832,Texas,17.70,27.876,7.478
1833,Texas,18.21,27.893,8.534
1834,Texas,18.37,28.483,5.964
1835,Texas,16.55,26.336,6.138
1836,Texas,16.84,27.018,6.614
1837,Texas,17.44,28.161,7.318
1838,Texas,16.67,28.124,4.593
1839,Texas,17.58,27.891,5.833
1840,Texas,17.58,27.44,7.331
1841,Texas,17.63,28.694,6.056
1842,Texas,17.93,26.627,7.864
1843,Texas,17.59,27.108,8.513
1844,Texas,17.78,28.112,7.304
1845,Texas,17.68,27.867,5.471
1846,Texas,18.23,28.099,8.87
1847,Texas,17.21,27.212,5.451
1848,Texas,17.45,27.205,6.972
1849,Texas,17.98,27.532,7.787
1850,Texas,17.80,28.773,5.164
1851,Texas,17.99,27.979,7.253
1852,Texas,17.49,27.268,4.384
1853,Texas,17.30,27.317,6.451
1854,Texas,17.98,27.506,6.53
1855,Texas,17.63,27.125,7.085
1856,Texas,17.20,28.854,1.965
1857,Texas,17.60,28.369,4.886
1858,Texas,17.95,28.184,8.262
1859,Texas,18.00,28.007,4.094
1860,Texas,18.16,29.355,7.074
1861,Texas,18.54,28.448,5.846
1862,Texas,18.40,28.933,8.81
1863,Texas,18.07,27.699,6.858
1864,Texas,17.63,28.207,5.761
1865,Texas,18.00,27.872,6.467
1866,Texas,17.99,28.055,7.602
1867,Texas,18.83,27.992,7.414
1868,Texas,17.87,27.863,6.452
1869,Texas,17.29,27.976,6.258
1870,Texas,18.13,28.009,5.793
1871,Texas,18.44,28.897,7.999
1872,Texas,17.57,27.705,4.865
1873,Texas,17.66,27.379,5.168
1874,Texas,18.28,29.38,8.111
1875,Texas,17.58,27.92,3.51
1876,Texas,17.77,27.989,4.866
1877,Texas,17.62,27.656,6.084
1878,Texas,17.92,27.738,5.244
1879,Texas,18.58,29.086,6.843
1880,Texas,17.54,26.746,6.774
1881,Texas,17.96,28.495,3.149
1882,Texas,17.94,26.939,7.672
1883,Texas,17.76,27.549,5.274
1884,Texas,17.62,29.003,4.135
1885,Texas,17.35,27.205,5.23
1886,Texas,17.55,28.295,3.407
1887,Texas,17.87,27.753,5.855
1888,Texas,17.50,27.669,5.268
1889,Texas,17.67,27.181,6.812
1890,Texas,18.43,27.903,9.949
1891,Texas,17.39,27.521,6.349
1892,Texas,17.57,27.542,4.833
1893,Texas,18.05,28.232,7.529
1894,Texas,18.00,27.127,6.463
1895,Texas,17.07,27.321,3.854
1896,Texas,18.50,28.028,8.309
1897,Texas,17.91,28.158,5.292
1898,Texas,17.51,26.856,4.93
1899,Texas,17.64,28.761,3.898
1900,Texas,17.98,26.747,8.242
1901,Texas,18.03,28.308,7.45
1902,Texas,18.33,28.293,6.985
1903,Texas,16.90,27.053,6.611
1904,Texas,18.10,26.571,6.726
1905,Texas,17.24,27.717,3.574
1906,Texas,17.56,26.398,7.896
1907,Texas,18.63,27.99,9.122
1908,Texas,18.25,26.691,8.792
1909,Texas,18.51,28.553,4.957
1910,Texas,18.63,28.55,7.715
1911,Texas,18.74,28.001,6.566
1912,Texas,17.24,28.222,5.545
1913,Texas,17.43,27.893,7.315
1914,Texas,17.69,28.184,4.857
1915,Texas,17.70,27.362,6.597
1916,Texas,18.46,27.693,8.533
1917,Texas,17.90,28.545,6.854
1918,Texas,18.09,28.54,4.097
1919,Texas,17.40,27.286,5.904
1920,Texas,17.64,27.541,6.601
1921,Texas,19.21,28.164,10.585
1922,Texas,18.48,28.358,6.354
1923,Texas,18.08,27.891,8.35
1924,Texas,17.63,28.988,5.312
1925,Texas,18.57,28.904,6.29
1926,Texas,17.79,27.259,5.885
1927,Texas,19.03,27.718,6.309
1928,Texas,18.06,27.947,8.147
1929,Texas,17.76,28.144,5.765
1930,Texas,17.96,28.221,3.048
1931,Texas,18.24,27.678,8.073
1932,Texas,17.82,28.258,6.041
1933,Texas,19.27,28.44,8.192
1934,Texas,19.24,29.162,9.096
1935,Texas,18.43,28.212,7.748
1936,Texas,17.97,28.448,6.768
1937,Texas,18.16,28.985,6.624
1938,Texas,18.90,28.022,9.05
1939,Texas,18.82,28.522,8.361
1940,Texas,17.64,27.491,2.908
1941,Texas,18.01,27.397,8.991
1942,Texas,17.93,27.207,6.72
1943,Texas,18.31,29.546,7.069
1944,Texas,18.16,28.308,6.919
1945,Texas,18.45,27.645,7.532
1946,Texas,18.82,28.334,7.037
1947,Texas,17.88,28,6.566
1948,Texas,18.28,28.304,4.78
1949,Texas,18.09,28.004,4.848
1950,Texas,18.75,26.912,8.836
1951,Texas,18.68,29.373,7.946
1952,Texas,18.53,29.684,8.011
1953,Texas,18.96,29.374,6.987
1954,Texas,19.45,29.463,9.294
1955,Texas,18.65,27.843,8.017
1956,Texas,19.05,28.783,8.28
1957,Texas,18.34,29.086,8.624
1958,Texas,17.70,28.451,6.972
1959,Texas,17.84,27.643,6.644
1960,Texas,17.80,27.627,6.503
1961,Texas,17.71,26.529,5.759
1962,Texas,18.63,28.792,4.99
1963,Texas,18.66,28.788,4.485
1964,Texas,18.35,29.027,6.972
1965,Texas,18.56,28.403,8.194
1966,Texas,17.70,28.988,4.959
1967,Texas,18.44,27.583,7.665
1968,Texas,17.49,27.271,7.266
1969,Texas,18.27,29.618,9.635
1970,Texas,17.84,28.103,5.695
1971,Texas,18.49,27.983,9.562
1972,Texas,18.24,26.852,6.953
1973,Texas,17.82,27.268,5.301
1974,Texas,18.28,28.101,7.691
1975,Texas,17.88,26.936,8.95
1976,Texas,17.35,26.955,7.139
1977,Texas,18.69,28.645,3.969
1978,Texas,17.88,29.487,3.769
1979,Texas,17.40,28,3.183
1980,Texas,18.55,30.329,8.494
1981,Texas,18.54,28.344,7.877
1982,Texas,18.34,28.725,7.959
1983,Texas,17.63,28.483,3.613
1984,Texas,18.38,27.91,5.443
1985,Texas,18.17,28.823,4.699
1986,Texas,18.79,28.547,7.709
1987,Texas,17.86,28.198,7.175
1988,Texas,18.15,28.127,5.62
1989,Texas,18.10,27.861,4.294
1990,Texas,18.83,28.918,7.711
1991,Texas,18.38,27.5,6.346
1992,Texas,18.15,27.736,7.417
1993,Texas,17.98,28.739,7.444
1994,Texas,18.80,28.558,8.055
1995,Texas,18.61,28.488,8.8
1996,Texas,18.70,28.958,7.659
1997,Texas,17.90,28.491,7.063
1998,Texas,19.61,30.463,8.978
1999,Texas,19.38,29.36,9.213
2000,Texas,19.24,29.292,5.651
2001,Texas,18.83,29.721,6.529
2002,Texas,18.50,28.56,8.458
2003,Texas,18.76,28.594,7.842
2004,Texas,18.58,27.353,8.51
2005,Texas,18.95,28.315,8.425
2006,Texas,19.59,28.901,8.874
2007,Texas,18.34,28.031,5.734
2008,Texas,18.71,28.459,7.674
2009,Texas,18.83,29.159,6.09
2010,Texas,18.50,29.393,6.609
2011,Texas,19.72,31.401,7.121
2012,Texas,19.93,28.942,10.127
2013,Texas,20.43,28.663,8.671
